Physical,Analytical,Fitness,Interview,Education,Result
93,96,51,99,99,1
42,62,93,82,0,0
27,46,14,15,60,0
11,41,43,54,29,0
8,42,82,42,7,0
58,46,10,71,12,0
0,70,38,59,48,0
6,2,75,0,29,0
22,29,68,21,89,0
92,74,50,27,79,0
48,99,56,97,93,1
71,58,32,19,55,0
24,2,81,88,60,0
51,12,76,11,20,0
69,3,26,6,87,0
6,76,2,58,67,0
0,90,95,4,24,0
19,56,89,96,86,0
89,49,20,26,82,0
47,3,58,3,92,0
60,99,65,4,47,0
53,23,85,48,52,0
21,33,99,96,49,0
37,94,51,67,6,0
27,42,49,22,78,0
69,95,3,13,56,0
74,71,79,15,64,0
10,70,60,82,25,0
3,11,41,95,0,0
2,17,19,51,10,0
6,21,50,87,90,0
53,67,86,54,59,1
33,6,20,68,89,0
94,13,23,79,82,0
57,75,71,24,83,0
90,76,45,84,67,1
62,14,68,54,41,0
66,91,36,91,1,0
20,97,66,87,94,0
17,9,18,73,16,0
17,38,11,89,49,0
21,51,94,32,99,0
19,54,22,10,12,0
21,32,93,80,5,0
6,19,5,21,42,0
27,26,74,2,25,0
94,25,50,27,28,0
86,71,56,77,7,0
51,74,17,71,32,0
7,7,25,63,96,0
80,38,98,70,66,1
48,50,42,43,10,0
57,55,26,21,93,0
53,100,99,1,26,0
76,37,24,85,26,0
0,87,28,53,66,0
19,73,29,42,78,0
36,99,75,20,56,0
29,40,17,1,65,0
75,54,54,75,44,1
85,74,99,12,27,0
87,99,79,4,7,0
90,58,95,63,19,0
90,54,91,0,9,0
11,93,53,18,73,0
28,8,46,63,8,0
72,89,21,58,17,0
22,56,69,100,96,0
42,9,38,13,21,0
4,24,90,85,83,0
86,50,0,55,72,0
96,82,34,64,41,0
16,90,25,55,76,0
99,9,90,99,76,0
47,73,49,65,47,1
91,14,65,84,37,0
58,6,18,79,40,0
15,10,62,52,80,0
11,15,55,14,75,0
25,92,87,76,73,0
13,40,74,35,27,0
6,7,40,46,84,0
91,57,22,44,61,0
4,88,51,51,64,0
40,32,36,21,18,0
27,90,86,75,45,0
14,42,27,48,73,0
33,6,46,18,87,0
35,21,97,7,77,0
11,43,93,99,95,0
78,64,20,14,51,0
3,62,46,57,51,0
17,99,65,66,39,0
33,8,27,10,53,0
35,51,29,61,25,0
53,65,36,100,66,1
42,86,37,48,14,0
41,34,28,91,100,0
61,54,20,24,57,0
41,83,29,70,77,0
54,28,23,85,57,0
30,14,55,14,7,0
1,34,65,9,63,0
72,4,2,53,48,0
25,63,96,17,5,0
74,75,7,99,16,0
91,41,23,21,14,0
22,35,40,58,85,0
4,18,13,40,69,0
60,22,12,67,88,0
28,100,34,76,7,0
56,68,85,7,47,0
6,87,0,50,27,0
41,41,22,84,41,0
61,16,45,79,38,0
45,58,35,52,1,0
63,28,37,44,57,0
39,16,12,81,55,0
82,71,14,17,37,0
14,80,47,34,41,0
49,68,56,23,85,0
72,56,32,61,12,0
100,58,29,65,30,0
65,41,87,9,57,0
1,85,94,55,46,0
22,87,66,59,80,0
44,80,86,12,4,0
51,79,83,36,46,1
14,84,31,41,32,0
83,53,0,99,77,0
48,46,12,50,44,0
91,48,88,13,51,0
78,2,36,38,63,0
58,12,32,0,5,0
75,27,73,20,29,0
54,92,8,80,2,0
86,30,88,43,91,0
42,90,34,50,58,0
76,12,14,55,46,0
35,35,9,61,67,0
88,100,57,33,13,0
36,60,71,85,56,1
93,42,47,0,83,0
79,47,40,48,73,1
31,95,33,53,93,0
71,70,55,90,62,1
86,40,46,13,83,0
94,1,79,63,46,0
82,5,63,85,72,0
10,23,58,48,39,0
43,42,9,63,49,0
15,15,38,8,78,0
81,6,1,10,53,0
69,81,76,64,65,1
79,65,90,61,14,0
0,90,81,62,48,0
48,75,47,60,79,1
24,92,79,1,53,0
100,18,60,37,53,0
90,15,77,19,81,0
9,28,9,76,97,0
23,68,3,58,32,0
70,9,64,78,75,0
14,64,52,79,7,0
11,77,37,70,56,0
92,25,19,98,20,0
51,0,36,76,4,0
29,77,38,72,57,0
25,17,28,80,84,0
14,4,69,47,36,0
53,34,8,86,62,0
33,52,81,70,72,0
8,76,62,71,49,0
33,4,89,75,10,0
26,84,65,9,32,0
18,74,85,76,56,0
4,68,9,78,30,0
58,81,51,65,14,0
66,28,95,37,89,0
13,54,43,62,34,0
29,97,66,10,32,0
3,48,18,70,8,0
13,25,45,61,82,0
93,99,68,16,62,0
5,29,20,27,38,0
85,86,7,87,86,0
54,83,39,91,57,1
62,93,29,38,59,0
93,62,9,85,87,0
21,97,45,19,12,0
87,98,40,63,3,0
26,13,51,69,61,0
68,12,13,28,63,0
55,58,93,14,4,0
76,59,44,87,97,1
41,36,24,25,36,0
47,81,78,39,41,1
8,64,97,4,22,0
55,49,34,85,4,0
23,52,45,63,1,0
0,58,84,70,31,0
11,14,36,4,28,0
78,47,41,96,45,1
85,59,42,90,39,1
79,47,15,5,64,0
16,4,4,67,46,0
96,13,99,31,43,0
17,4,81,62,65,0
60,63,31,43,57,0
97,33,44,15,90,0
35,100,46,17,100,0
61,95,79,65,55,1
27,24,63,23,76,0
43,83,72,22,87,0
65,85,35,28,86,0
42,69,23,0,55,0
77,25,36,97,68,0
20,21,77,32,19,0
76,83,80,1,45,0
43,67,8,36,65,0
62,34,57,31,85,0
98,25,20,77,67,0
2,7,43,32,61,0
21,68,100,42,9,0
53,27,50,60,2,0
53,22,85,96,72,0
31,62,11,73,65,0
13,97,54,4,52,0
0,87,10,22,53,0
62,75,34,74,8,0
79,1,2,29,18,0
75,2,23,23,49,0
68,98,98,92,17,0
16,15,3,10,71,0
85,75,4,59,18,0
58,7,15,43,0,0
45,16,8,37,58,0
59,97,85,88,58,1
82,90,72,53,93,1
40,6,5,27,39,0
94,25,73,39,53,0
75,47,37,39,42,1
60,5,49,5,10,0
27,100,82,37,53,0
61,33,32,1,89,0
55,9,24,33,22,0
71,75,70,40,60,1
88,24,66,80,9,0
4,82,80,25,94,0
50,11,64,66,86,0
46,100,97,73,84,1
88,12,62,31,22,0
35,74,72,12,75,0
19,48,43,74,0,0
90,27,66,44,89,0
0,13,95,54,55,0
36,89,74,68,38,1
98,65,70,92,84,1
5,4,58,70,64,0
72,25,23,66,54,0
51,43,53,65,13,0
81,29,92,10,66,0
11,24,32,48,93,0
85,24,25,36,36,0
55,45,74,91,60,1
42,30,93,58,80,0
100,16,30,60,54,0
6,2,14,34,21,0
23,55,95,85,100,0
6,36,55,53,42,0
1,44,24,30,79,0
21,57,37,62,61,0
55,66,66,48,92,1
36,85,30,14,19,0
79,5,87,13,30,0
88,48,94,66,73,1
7,14,5,4,85,0
41,60,18,7,90,0
28,92,73,81,76,0
57,78,29,53,41,0
87,21,71,79,92,0
23,39,78,67,87,0
21,59,74,69,64,0
0,30,18,23,32,0
65,69,63,89,75,1
22,69,91,81,27,0
21,77,30,93,55,0
41,42,87,46,86,1
87,44,35,50,71,0
42,26,19,96,60,0
9,59,86,42,56,0
8,24,23,9,77,0
27,90,73,41,45,0
29,24,63,65,55,0
96,98,81,27,59,0
41,80,24,86,88,0
94,62,64,42,9,0
80,65,10,63,97,0
70,28,70,58,72,0
22,6,97,91,73,0
97,58,88,22,97,0
54,45,54,3,27,0
44,93,0,5,92,0
99,15,45,28,74,0
73,48,30,50,7,0
27,73,24,76,7,0
75,74,53,52,92,1
93,36,56,8,45,0
78,26,93,10,72,0
46,5,85,98,91,0
50,81,73,29,0,0
2,58,4,20,87,0
97,31,1,93,54,0
19,78,96,45,55,0
53,71,33,43,81,0
100,71,84,32,25,0
81,90,2,67,8,0
1,75,40,84,56,0
33,82,81,1,90,0
17,73,32,17,2,0
95,81,48,72,25,0
80,55,26,87,84,0
40,92,75,22,91,0
31,64,29,30,97,0
93,50,12,9,100,0
79,78,18,22,24,0
39,76,20,72,22,0
42,0,51,4,20,0
49,98,31,63,24,0
100,57,98,55,18,0
1,28,27,74,38,0
57,64,26,78,73,0
86,29,98,90,8,0
40,93,81,99,23,0
38,19,83,12,36,0
77,13,81,29,48,0
61,59,41,48,59,1
82,79,33,46,73,0
10,85,84,91,57,0
14,73,62,95,13,0
69,24,43,70,18,0
58,3,8,79,12,0
88,57,28,43,56,0
83,73,87,68,22,0
65,87,20,29,3,0
90,99,9,12,90,0
18,67,74,73,18,0
95,83,14,96,43,0
30,21,0,24,24,0
46,39,97,16,98,0
11,38,89,53,33,0
98,6,59,82,57,0
100,36,48,27,78,0
8,74,67,76,54,0
8,25,30,10,40,0
6,90,18,63,65,0
30,98,84,52,56,0
33,2,57,39,4,0
65,96,20,35,75,0
45,40,23,61,5,0
98,17,30,81,49,0
96,71,57,23,7,0
95,93,39,96,32,0
28,79,36,94,62,0
100,3,88,95,19,0
5,37,83,10,1,0
16,90,70,93,42,0
